Initial molecule ; Modified molecule
Cc1onc(-c2cccc(Cl)c2Cl)c1C(=O)Nc1ncc([N+](=O)[O-])s1 ; [C-]#[N+]c1cnc(NC(=O)c2c(-c3c(Cl)cc(CC)s3)cccc2C)s1
O=C(C=C(c1ccccc1)N1CCOCC1)c1ccccc1 ; O=C(C=C(c1ccccc1)N1CCOCC1)c1ccccn1
COc1ccc2nc(-n3[nH]c4c(c3=O)CCCC4)sc2c1 ; COc1ccc2nc(-n3[nH]c4c(CCCC4)c3=O)sc2c1
CC(C)Cc1csc2nc(-c3ccncc3)nc(NCC(C)N)c12 ; CC(C)CNc1c2c(C(C)C)csc2nc(-c2ccncc2)n1
O=C1SC(=Cc2cc(O)ccc2[N+](=O)[O-])C(=O)N1Cc1cccc([N+](=O)[O-])c1 ; [C-]#[N+]c1cc(OCCC=C2C(=O)NC(=O)N(c3cc(C)ccc3[N+]#[C-])C2=O)ccc1
CCC(Sc1ncnc2sc(-c3ccccc3)cc12)C(=O)O ; CCC(Sc1ncnc2c1cc(-c1ccccn1)s2)C(=O)O
CCCN(CCC)C(=O)Cn1c(-c2ccc(Cl)cc2)nc2ccccc21 ; CNc1ccc(-c2nc3ccccc3n2N2C=CC=CC=C2)nc1
CC(=O)c1ccc(Sn2cnc(-c3ccccc3)n2)c([N+](=O)[O-])c1 ; [C-]#[N+]c1nc(C(=O)NC)ncc1Sc1cc(=O)n(-c2ccccc2)[nH]1
O=C(Nc1cccc2sc(Cl)nc12)c1ccc(-c2cccc([N+](=O)[O-])c2)o1 ; [C-]#[N+]c1cc(-c2ccc(C(=O)Nc3c4nc(Cl)sc4ccc3)o2)ccc1
CC(C)(C)C1CCc2sc(C(=O)Nc3ccccc3[N+](=O)[O-])c(C(N)=O)c2C1 ; CC(C)(C)C1CCc2c(C1)c(NC(N)=O)c(C(=O)On1cccc1[N+](=O)[O-])s2
CC(C)N(C)S(=O)(=O)c1cccc(C(=O)Nc2ccc(Cl)cn2)c1 ; CNc1ccc(NC(=O)c2cc(S(=O)(=O)N(C)C(C)C)ccc2)cc1
Fc1ccc(-c2c(-c3ccncc3)[nH]c3cncnc23)cc1 ; NCCc1ccc(-c2c(-c3ccncc3)n3ccccc3n2)cc1
Cc1ccc(NC(=S)NNc2ncc(C(F)(F)F)cc2Cl)cc1 ; CNc1cc(C(F)(F)F)cnc1NNC(=S)Nc1ccc(SC)cc1
Cc1ccccc1CSCc1cccc(S(=O)(=O)N(C)C)c1 ; Cc1ccccc1SCc1cncc(S(=O)(=O)C(C)C)c1
CC(=O)c1ccc(Sn2cnc(-c3ccccc3)n2)c([N+](=O)[O-])c1 ; [C-]#[N+]c1cc(C(=O)NC)ccc1CCNc1cc(=O)n(-c2ccccc2)[nH]1
Cc1ccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)cc1S(=O)(=O)N1CCCCC1 ; CCN(CC)S(=O)(=O)c1cc(C(=O)N(C)Cc2ccc(F)cn2)ccc1C
O=C(O)CSc1ncnc2scc(-c3ccc(Cl)cc3)c12 ; CNc1ccc(-c2csc3c2c(SCC(=O)O)ncn3)cc1
Cc1cccc(-c2cc(NC(=O)C(C)(C)C)n(-c3ccccc3)n2)c1 ; Cc1csc(-c2nn(-c3ccccn3)c(NC(=O)C(C)(C)C)c2)n1
COC(=O)Cc1[nH]n(-c2nc3ccccc3s2)c(=O)c1C(C)=Nc1ccc(OC)cc1 ; COC(=O)Cc1c(N(C)c2ccc(F)cc2)nc(-c2nc3ccccc3s2)s1
CC(C)c1ccc(C#N)c(SCc2nnc(-c3ccc([N+](=O)[O-])cc3)o2)n1 ; CC(C)c1ccc(C#N)c(Cc2nnc(-c3ccc([N+](=O)[O-])cn3)o2)n1
CC(=O)N(C)CCN1CCN(Cc2cccc(C)c2)CC1 ; CSc1cc(OCCN(C)CCCCN(C)C(C)=O)cnc1
CCc1ccc(S(=O)(=O)Nc2cccc3cnccc23)cc1 ; O=S(=O)(NCCc1cccc2cnccc12)c1ccc(C2=CCCCC2)cc1
CC(=O)Nc1ccc(Sc2ccc(NC(=O)CCl)cc2)cc1 ; CC(=O)Nc1ccc(NCCc2ccc(NC(=O)CCCl)cc2)cc1
CCCCCCCCC(=O)Nc1cc(-c2ccccc2)nn1-c1ccccc1 ; CCN(CC)CCc1cc(-c2ccccc2)nn1-c1ccccn1
CC(Sc1ncnc2ccccc12)C(=O)Nc1ccc(S(N)(=O)=O)cc1 ; CNS(=O)(=O)c1ccc(NC(=O)C(C)Sc2ncnc3ccccc23)cc1
CNC(=O)Nc1ccc(S(=O)(=O)N(C)C(=O)c2ccccc2)cc1 ; CNC(=O)Nc1ccc(S(=O)(=O)NCC(=O)c2ccccn2)cc1
CCN(CC)S(=O)(=O)c1ccc(Cl)c(NC(=O)CC(C)C)c1 ; CN(C)S(=O)(=O)c1ncc(Cl)c(NC(=O)CC(C)(C)C)n1
CCN1C(=O)SC(=Cc2ccc(O)c([N+](=O)[O-])c2)C1=O ; [C-]#[N+]c1nc([SH](#C)N2CCCCCC2)ncc1O
Cc1nc(Nc2ccccc2)nc(Nc2ccc(C)c(C)c2)n1 ; CSc1cc(NNc2nc(C)nc(Nc3cnccn3)n2)ccc1C
COc1ccc(OC)c(S(=O)(=O)c2cc(N)nn2-c2ccc(OC)c(OC)c2)c1 ; Cc1nn(-c2ccc(CN)c(F)c2)c(S(=O)(=O)c2cc(N)ccc2F)c1
Cc1c(CN(C)C(=O)c2ccccc2)sc2ncnc(N3CCN(c4ccccc4)CC3)c12 ; Cc1cccn1-c1c(SCC(N)=O)sc2ncnc(N3CCN(c4ccccc4)CC3)c12
CCn1ccc(C(=O)Nc2nc(-c3ccc4c(c3)OCO4)cs2)n1 ; O=C(NCc1nc(-c2ccc3OCCOc3c2)cs1)n1ccc(N2CCCCCC2)n1
CN(C)S(=O)(=O)Oc1ccc(C(=O)Nc2cc(C(F)(F)F)ccc2Cl)cc1 ; CNc1ccc(C(F)(F)F)cc1NC(=O)c1ccc(OS(N)(=O)=O)cc1
O=C(c1ncc(N2CCN(c3ncccn3)CC2)c2ccccc12)N1CCN(c2cccc(Cl)c2)CC1 ; CNc1cc(N2CCC(N(C)c3ncc(N4CCCN(c5cscc5)CC4)c4ccccc34)CC2)cnc1
CN(C)CCN(C)c1cccc(S(=O)(=O)NC(=O)c2ccccc2)c1[N+](=O)[O-] ; [C-]#[N+]c1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1N(C)CCN(C)C
O=C(CCl)Nc1cc(NS(=O)(=O)c2cccc(Cl)c2)ccc1Cl ; CNc1c(N=NS(=O)(=O)c2nc(Cl)cs2)cccc1NC(=O)CCCl
CCCCCn1cc(C(=O)c2ccc(CC)c3ccccc23)c2ccccc21 ; CCNc1cc2ccc(C(=O)c3cn(N4CCCCC4)c4ccccc34)cc2cc1
COc1ccccc1NS(=O)(=O)c1cccc(NC(=O)Nc2ccccc2)c1 ; COc1cn2ncc(CCS(=O)(=O)c3cccc(SCC(=O)Nc4ccccc4)c3)c2nc1
O=[N+]([O-])c1ccccc1C(F)S(=O)(=O)c1ccccn1 ; O=S(=O)(c1ccccn1)C(F)c1ccccc1C(F)(F)F
COc1ccc(O)c(-c2[nH]ncc2C(=O)c2cccc(C)c2)c1 ; CSc1cc(C(=O)c2c(-c3cc(N)ccc3O)[nH]nc2)cnc1
Cc1ccc(C=C2C(=O)NC(=O)N(Cc3ccc(F)cc3)C2=O)o1 ; CSc1ccc(C=C2C(=O)NC(=O)N(CCOc3ccc(F)cn3)C2=O)o1
Cc1ccc(-c2csc3ncnc(N4CCN(c5ccccc5O)CC4)c23)cc1 ; CSc1ccc(-c2csc3ncnc(N4CCN(c5ncccc5I)CC4)c23)cc1
CN(C)S(=O)(=O)c1cccc(CS(=O)(=O)c2ccccc2)c1 ; CN(C)S(=O)(=O)c1cccc(CCS(=O)(=O)c2ccccn2)c1
Nc1ccc(Oc2ccc(Oc3ccc(N)cc3)cc2)cc1 ; COc1ccc(Oc2ccc(Oc3ccc(NO)cn3)cc2)cc1
FC(F)(F)c1cnc(NC(=S)NNc2ccccc2Cl)c(Cl)c1 ; CNc1cc(C(Cl)(Cl)Cl)cnc1C(=O)NN=Cn1cccc1Cl
CCCCC(CC)COc1cccc(-c2nnc(-c3ccccc3)o2)c1 ; CCCCC(CC)COc1cccc(-c2nnc(-c3ccccn3)o2)c1
CC(C)=C1CN(C(=O)C(c2cccs2)N(C(=O)CCl)c2ccc(Cl)cc2C)CCN1 ; CSc1cc(Cl)ccc1N(C(=O)CCl)C(C(=O)[N+]1CCNCC1)c1cccs1
COc1ccc(NC(=O)c2ccc(C(=O)N3CCN(c4ccccc4)CC3)cc2)cc1OC ; COc1ccc(NC(=O)c2ccc(NCCCN3CCN(c4ccccc4)CC3)cc2)cc1F
Cc1ccc(NS(=O)(=O)c2cccc(CNC(=O)c3ccncc3)c2)cc1F ; Cc1ncc(N=NS(=O)(=O)c2cc(CNC(=O)CSc3cnccn3)ccc2)cc1F
CN1CCN(S(=O)(=O)c2cccc(C(=O)Nc3ccc(F)cc3)c2)CC1 ; O=C(NCc1ccc(F)cn1)c1nc(S(=O)(=O)N2CCCN(O)CC2)cs1
Cc1ccc(-c2nnnn2Sc2cc([N+](=O)[O-])ccc2C=O)c(C)c1 ; [C-]#[N+]c1ccc(C=O)c(CN=C(C)c2c(-c3cnc(N)nc3SC)ccs2)c1
Cc1ccc(-c2ncnc3c2cnn3C2CCCN(C)C2)c(C)c1 ; CSc1ncc(-c2c3cnn(C4CCCN(C)C4)c3ncn2)c(SC)n1
O=C(CCl)N(c1ccccc1)c1c[nH]c2ccccc12 ; CC(=O)N(c1ccccc1)n1ccc2ccccc21
COc1ccccc1C(=O)Nc1ccc(O)c(-c2nc3ccccc3s2)c1 ; COc1cn2ncc(C(=O)Nc3ncc(O)c(-c4nc5ccccc5s4)n3)c2nc1
Cc1ccc(NS(=O)(=O)c2nc3ccc(C)cc3s2)c(C)c1 ; C=CCc1ccc2nc(S(=O)(=O)Nc3ccc(SC)cc3SC)sc2c1
CC(=O)N(c1cccc(F)c1)c1cn(C(C)=O)c2ccccc12 ; CNC(=O)n1cc(N(C(C)=O)c2nc(F)cs2)c2ccccc21
N#Cc1cc(NC(=O)CCl)n(-c2c(F)cccc2F)n1 ; N#Cc1nn(-c2cc(I)cnc2F)c(NC(=O)CCl)c1
Cc1c(CNC(=O)c2ccccn2)sc2ncnc(N3CCc4ccccc4C3)c12 ; Cc1c2ncc(C(=O)NCN3CCc4c(-c5ncnc6c5ccs6)cccc4C3)cn2nc1
O=C1NC(=O)C(=Cc2ccc(OCC3COc4ccccc4O3)cc2)S1 ; O=C1NNC(=O)C1=Cc1ccc(OCN2Cc3ccccc3C2)cc1
CN(C)S(=O)(=O)Oc1ccc(C(=O)Nc2ccc(F)cc2)cc1 ; CN(C)S(=O)(=O)Oc1ccc(C(=O)Nc2ccc(F)cn2)cc1
Cc1ccc(Cl)cc1N1CCN(C(=O)c2cnc(N3CCOCC3)c3ccccc23)CC1 ; Oc1ccc(Cl)cc1N1CCN(C(O)Nc2ccc3c(c2)ccn3C2CCOCC2)CC1
O=c1sc(N2CCN(c3ccc(F)cc3)CC2)nc2ccsc12 ; Fc1ccc(N2CCC(c3c4cncnc4sc3)CC2)cc1
CN(c1ccc(NC(=O)c2cccnc2)cc1)S(=O)(=O)c1ccccc1 ; CN(c1ccc(NC(=O)c2cccnc2)cc1)S(=O)(=O)c1ccccn1
Cc1cccc(NC(=O)COc2csc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)n2)c1C ; Cc1cccc(NC(=O)C(C#N)=Cc2csc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)c1C
Fc1ccc(NNC(=S)Nc2ccc3c(Cl)ccnc3c2)cc1Cl ; CNc1cc(C=CC(=O)c2nc3ccc(C4CCCCCC4)cc3[nH]2)cnc1F
O=C(Nc1cccc([N+](=O)[O-])c1)c1cc2ccccc2cc1OP(=O)(O)O ; O=C(Nc1nc([N+](=O)[O-])cs1)c1cc2ccccc2cc1OS(=O)(=O)F
CS(=O)(=O)N1CCC(C(=O)Nc2nc(-c3cc4ccccc4o3)cs2)CC1 ; CS(=O)(=O)N1CC(C(=O)NCc2nc(-c3cc4ccccc4o3)cs2)C1
CC(Nc1nc(C#N)oc1OCc1ccc(Br)cc1)c1ccccc1 ; [B]c1ccc(CCNc2c(N=C(C)c3ccccn3)nc(C#N)o2)nc1
CC(C)CNC(=O)COC(=O)c1ccccc1C(=O)c1ccc(Cl)c([N+](=O)[O-])c1 ; [C-]#[N+]c1cc(N(C)c2ccccc2C(=O)OCC(=O)NCC(C)C)ccc1Cl
O=c1c2scc(-c3ccccc3)c2ncn1-c1ccccc1 ; O=c1c2c(ncn1-c1ccccn1)c(-c1cscc1)cs2
Cc1ccc(C(=O)Nc2nc(-c3ccccn3)cs2)s1 ; Cc1c(C(=O)Nc2cc(-c3ccccn3)cs2)nn[se]1
COc1ccc(NS(=O)(=O)c2cc(C(=O)Nc3cc(=O)c4ccccc4o3)ccc2OC)cc1 ; COc1ccc(NS(=O)(=O)c2cccc(C(=O)Oc3cc(=O)c4ccccc4o3)c2F)nc1
Cc1ccc(-c2nc(C(=O)Nc3cn([N+](=O)[O-])nc3C)sc2C)cc1 ; CSc1c(-c2ccc(C)nc2)onc1C(=O)Nn1nc(C(=O)OCC(=O)NC(C)(C)C)cc1SC
CCCCC(=O)c1ccc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccccc2)cc1 ; CCCCC(=O)c1ccc(NNc2nc3ccccc3nc2NS(=O)(=O)c2ccccn2)cc1
O=C(Cl)Nc1ccc(Sc2ccc(NC(=O)Cl)cc2)cc1 ; O=C(Cl)Nc1ccc(NCCc2ccc(NS(=O)O)cn2)cc1
Nc1ccc(Oc2cc(N)cc(Oc3ccccc3)c2)cc1 ; CC(N)c1cc(Oc2ccccn2)cc(Oc2ccc(N)cn2)c1
CCCCN1C(=O)SC(=Cc2ccc(O)c([N+](=O)[O-])c2)C1=O ; [C-]#[N+]c1nc([SH](#C)CC(=C)C)ncc1O
CCc1nc2ccccn2c1C(=O)c1ccc(O)c(C#N)c1 ; CCNc1c(N(C)c2ccc(OC)c(C=N)c2)n2ccccc2n1
Cc1nc(Nc2ccccc2)nc(Nc2c(C)cccc2C)n1 ; CSc1ncc(N)cc1Nc1nc(N)nc(N(C)Sc2ccccc2)n1
O=C(COc1ccccc1)NN=Cc1ccc([N+](=O)[O-])s1 ; [C-]#[N+]c1ccc(C(c2ccccc2)C(C)(C)C(N)=O)s1
CC(Oc1ccccc1)C(=O)N1CCN(C(=O)c2cccc(CCOc3ccccc3C(N)=O)c2)CC1 ; CC(Oc1ccccc1)C(=O)N1CCN(CCCNc2cccc(Cc3ccccc3NC(N)=O)c2)CC1
NC(=O)c1ccc(Sn2nnnc2-c2ccccc2)c([N+](=O)[O-])c1 ; [C-]#[N+]c1nc(C(N)=O)ncc1Sn1nnnc1-c1ccccc1
Clc1ccc2c(NCCCNc3nccc(Nc4ccccc4)n3)ccnc2c1 ; CNc1ccc2c(OCCCOc3nccc(Nc4ccccn4)n3)ccnc2c1
COc1ccc(-c2cc(N)n(S(=O)(=O)c3ccc(OC)c(OC)c3)n2)cc1 ; COc1ccc(-c2nn(S(=O)(=O)c3ccc(OC)c(F)c3)c(N)c2)cc1
[N-]=[N+]=NCCCS(=O)(=O)c1nnnn1-c1ccccc1 ; [N-]=[N+]=NCCCS(=O)(=O)c1c(-c2ccccn2)ccs1
COc1ccc(C(=O)c2cn[nH]c2-c2ccc(C)cc2O)cc1 ; Nc1ccc(C(=O)c2c(-c3ccc(N)cc3I)[nH]nc2)nc1
COc1ccccc1N1CCN(c2ncnc3c2cnn3-c2cc(F)ccc2OC)CC1 ; COc1ccc(I)cc1-c1cc(=O)n2[nH]c(N3CCN(c4ccccc4OC)CC3)cc2n1
COc1cccc(OCCCOc2ccc(N=[N+]=[N-])cc2)c1 ; COc1csc(CCc2ccc(ON=[N+]=[N-])cc2)n1
CC(C)(C)c1nnc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)s1 ; CC(C)(C)Sc1nnc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)s1
CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CCl)c1 ; CCN(CC)S(=O)(=O)c1ncc(Cl)c(NC(=O)CCCl)n1
Cc1c(CN(C)C(=O)c2ccccc2)sc2ncnc(N3CCN(c4ccccc4)CC3)c12 ; CSc1c(CN(C)C(=O)c2ccccc2)sc2ncnc(N3CCN(c4ccccn4)CC3)c12
CC1CCN(C(=O)CSc2nc3ccccc3c(=O)[nH]2)CC1 ; CC1CCN(C(=O)OCn2cnc3ccccc3c2=O)CC1
CCCn1c(N)c(C(=O)COC(=O)C23CC4CC(CC(C4)C2)C3)c(=O)[nH]c1=O ; COn1c(N)c(C(=O)COC(=O)C23CC4CC(CC(C4)C2)C3)c(=O)[nH]c1=O
NS(=O)(=O)c1ccccc1NS(=O)(=O)c1ccc(C2CCCCC2)cc1 ; CCCCCCc1ccc(S(=O)(=O)Nc2ccccc2OS(=O)(=O)N(C)C)nc1
CC1CCCN(S(=O)(=O)c2ccc(NC(=O)c3cc(-c4cc(Cl)ccc4O)n[nH]3)cc2)C1 ; O=C(CCc1ccc(CS(=O)(=O)CN2CCCC(CCO)C2)cn1)c1cc(-c2cccc(Cl)c2O)n[nH]1
COc1ccccc1-c1cc(N)n(S(=O)(=O)c2ccc(F)cc2)n1 ; COc1ccncc1-c1nn(S(=O)(=O)c2ccc(F)cc2)c(N)c1
O=c1cc(-c2ccccc2)nc2cc(-c3ccccc3)[nH]n12 ; O=c1cc(-c2ccccn2)nc2cc(-c3ccccc3)[nH]n12
Cc1cc(C)cc(-n2nnnc2Sc2ccc(C=O)cc2[N+](=O)[O-])c1 ; [C-]#[N+]c1cc(C=O)ccc1C(C)=NCc1nnnn1-c1cc(N)cc(O)n1
COc1ccc(NC(=O)c2ccc(C(=O)N3CCN(c4ccc(C)cc4)CC3)cc2)cc1OC ; COc1ccc(NC(=O)c2ccc(NCCCN3CCN(c4ccc(C)cc4)CC3)cc2)cc1F
O=C(Nc1cccc2c(O)cccc12)c1cccc(Br)c1 ; C#Cc1c(NC(=O)c2cccc([O-])c2)ccc2ccccc12
CCCCCOc1ccc(-c2ccc(-c3nnc(CCC)o3)cc2)cc1 ; CCCCCOc1ccc(-c2ccc(-c3nnc(SCCC)s3)cc2)cc1
C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1 ; C#CCc1ccc2ncnc(NNc3ncc(F)c(NC)n3)c2c1
CCn1ccc(C(=O)Nc2nc(-c3ccc4c(c3)OCO4)cs2)n1 ; O=C(NCc1cc(-c2ccc3OCCOc3c2)cs1)c1nn(N2CCCCCC2)cc1
CC(=O)c1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(N)c([N+](=O)[O-])c3)CC2)cc1 ; [C-]#[N+]c1cc(N(C)N2CCN(S(=O)(=O)c3ccc(C(C)=O)cc3)CC2)ccc1N
O=C(Nc1nc2cc(-c3cccnc3)ccc2o1)c1ccc(-c2ccccc2)o1 ; O=C(Oc1nc2cc(-c3cccnc3)ccc2o1)c1ccc(-c2ccccn2)o1
CN(CC(=O)Nc1cccc(F)c1)C(=O)c1ccc2c(c1)OCCO2 ; CN(CC(=O)Nc1cc(F)ccc1)C(=O)c1ccc2OCCOc2c1
Cc1ccc(NC(=O)Nc2nnc(-c3ccncc3)s2)cc1 ; C=CCc1ccc(SCC(=O)NC(C)c2nnc(-c3ccncc3)s2)cc1
Cc1ccc2cc(CCC(=O)NC3=C(C(=O)O)CCCC3)ccc2n1 ; Cc1ccc2cc(CCC(=O)NC3=C(CC(=O)O)NCC=N3)ccc2n1
Nc1ccc(Oc2cccc(Oc3cccc(N)c3)c2)cc1 ; COc1ccc(Oc2csc(Oc3cccc(NO)c3)n2)cc1
CCN(CC)S(=O)(=O)c1ccc(NC(=O)COC(=O)C=C(C)C)cc1 ; CCCCNS(=O)(=O)c1ccc(NC(=O)COC(=O)C=C(C)C)cc1
CCOc1ccc(-n2nc3ccc(NC(=O)c4ccc(OC)c(OC)c4)cc3n2)cc1 ; CCOc1ccc(-n2nc3ccc(NC(=O)c4ncc(O)c(F)n4)cc3n2)nc1
Cc1ccc2cc(C=CC(=O)NC3=C(C(=O)O)CCCC3)ccc2n1 ; C=CCc1ccc2cc(C3=CCC(=O)N(C4=C(CC(=O)O)CCCC4)N3)ccc2n1
COc1ccc(CNC(=O)CSc2nc3ccc(NC(=O)c4ccccc4OC)cc3s2)cc1 ; Nc1ccc(CNC(=O)CSc2nc3ccc(OC(=O)c4ccccc4F)cc3s2)nc1
